Word,Frequency
na,1155
taṃ,839
so,754
pana,719
ca,646
te,599
nāma,537
satthā,516
imaṃ,504
bodhisatto,410
gantvā,402
evaṃ,402
āha,391
attano,388
tassa,345
tattha,336
katvā,333
ahosi,331
vā,326
vatvā,324
gahetvā,317
kiṃ,291
atha,289
tvaṃ,276
disvā,274
viya,270
idaṃ,265
rājā,262
ahaṃ,245
tadā,238
naṃ,234
ayaṃ,231
hutvā,225
me,224
bhikkhave,217
ekaṃ,207
kho,196
saddhiṃ,189
kathesi,187
hi,187
rajjaṃ,187
maṃ,184
sā,184
mayhaṃ,183
tena,181
āharitvā,176
ādāya,174
hoti,173
tasmiṃ,169
āgantvā,168
sutvā,165
dhammadesanaṃ,163
pucchi,157
bhikkhu,157
paṭṭhāya,156
natthi,155
santikaṃ,154
idāni,153
ārabbha,148
ahameva,148
viharanto,146
jātakaṃ,146
tato,144
tesaṃ,144
rañño,144
kira,142
atīte,142
bhante,141
amhākaṃ,141
samodhānesi,141
datvā,138
nissāya,138
bārāṇasiyaṃ,138
mā,136
ahosi’’nti,135
mayā,134
bhikkhū,134
gāthamāha,133
atītaṃ,127
eko,126
attho,124
agamāsi,122
puna,119
gato,118
bhavissati,118
āhari,117
jetavane,115
brahmadatte,110
pubbepi,109
sace,109
mama,109
kārente,109
tassā,108
ñatvā,107
tumhe,104
vanditvā,103
atthi,103
bodhisattassa,103
dve,102
yaṃ,100
vutte,99
cintesi,99
nu,99
tumhākaṃ,98
dhammaṃ,96
idāneva,96
etaṃ,95
dhanaṃ,95
yathā,93
mayaṃ,91
imasmiṃ,90
ito,90
vacanaṃ,90
ekasmiṃ,90
tasmā,88
pavisitvā,88
tāta,88
satthu,87
kathaṃ,87
ṭhapetvā,85
manussā,82
pubbe,82
ghaṭetvā,79
anusandhiṃ,79
tāva,78
sabbaṃ,78
ajja,78
āvuso,78
tava,78
sādhu,76
iminā,76
rājānaṃ,76
athassa,74
kasmā,74
ṭhatvā,73
ekadivasaṃ,73
ṭhāne,72
yo,71
imāya,71
aññaṃ,70
etarahi,70
akāsi,69
udakaṃ,69
bodhisattaṃ,69
adāsi,69
pañca,67
pakkosāpetvā,67
santike,67
mahārāja,67
no,66
patvā,66
kāle,65
pabbajitvā,64
tathā,64
sakkā,63
deva,63
kāraṇaṃ,62
nikkhamitvā,62
nisīditvā,62
kammaṃ,62
jāto,62
upasaṅkamitvā,62
ceva,61
bho,61
yathākammaṃ,61
pucchitvā,61
purato,60
nāmaṃ,60
devadatto,60
bhagavā,59
brāhmaṇo,59
imassa,58
aṭṭhāsi,58
saccaṃ,57
jīvitakkhayaṃ,57
karoti,57
bahū,56
tesu,56
bandhitvā,56
tattheva,56
evarūpaṃ,55
āma,54
kiñci,53
nāmā’’ti,53
ahesuṃ,53
ko,53
kahaṃ,52
tayā,52
bhavissatī’’ti,52
cintetvā,52
kathāya,52
bhikkhuṃ,51
maṃsaṃ,50
ime,50
kātuṃ,50
devā’’ti,50
athekadivasaṃ,50
ārocesi,49
idha,49
thero,49
divase,48
vaṭṭatī’’ti,48
attānaṃ,48
āhaṃsu,48
sabbe,48
kathetvā,48
seṭṭhi,47
satthāraṃ,47
kāya,47
nuttha,47
aggiṃ,47
esa,47
bhinditvā,46
tehi,46
tatheva,46
pānīyaṃ,46
dhammasabhāyaṃ,46
sannisinnā’’ti,46
nisīdi,45
vo,45
neva,45
nibbatti,45
puriso,45
sāmi,45
sādhū’’ti,45
puttaṃ,45
ācariyo,45
samma,44
dassetvā,44
putto,44
nibbattitvā,44
pāvisi,44
ukkhipitvā,44
samaye,43
ārocesuṃ,43
pavattiṃ,43
ettha,42
sopi,42
khāditvā,42
gacchanto,42
nagaraṃ,42
gaccha,42
dukkhaṃ,41
labhitvā,41
puññāni,41
pucchiṃsu,41
tayo,41
gacchati,40
sukhaṃ,40
amma,40
kālaṃ,40
yāva,39
honti,39
cattāro,39
gaṇhi,39
attanā,39
sīlaṃ,38
ye,37
ākāse,37
karonto,37
ekato,37
araññaṃ,37
ovādaṃ,37
vuccati,37
punappunaṃ,37
vasati,37
sīsaṃ,37
kāraṇena,37
pūretvā,36
bhante’’ti,36
jānāti,35
hatthe,35
kāretvā,35
gehaṃ,35
pitā,35
bahuṃ,34
heṭṭhā,34
bodhisattopi,34
ṭhito,34
sayaṃ,34
vīriyaṃ,34
ekena,34
dānādīni,34
satthāpi,34
gehe,34
akaṃsu,34
araññe,34
pacchā,34
netvā,34
bhayaṃ,34
upari,33
ni,33
manusse,33
saccāni,33
sampaṭicchitvā,33
ubhopi,33
mahantaṃ,33
loke,33
gāhāpetvā,32
vihāraṃ,32
saccapariyosāne,32
asakkonto,32
gharaṃ,32
tampi,32
koci,32
uyyānaṃ,32
uyyāne,32
yācito,32
uṭṭhāya,31
agamaṃsu,31
vata,31
iti,31
bhikkhūnaṃ,31
tā,31
janā,31
pesesi,31
cittaṃ,31
aho,31
patto,31
paharitvā,31
mātā,31
ānando,31
kiṃkāraṇā,31
vasanaṭṭhānaṃ,31
therassa,31
deti,30
vayappatto,30
bhavissanti,30
panassa,30
oloketvā,30
mātāpitaro,30
aññe,30
nisinno,30
karissāmī’’ti,30
bhadde,30
añño,30
suraṃ,30
itthiyo,30
bhagavantaṃ,29
nisīdiṃsu,29
dānaṃ,29
pāpuṇi,29
chaḍḍetvā,29
hotī’’ti,29
sabbepi,29
pakāsesi,29
ehi,29
otaritvā,29
satta,29
vuttaṃ,29
vegena,29
dhītaraṃ,29
pāde,29
atheko,29
tepi,28
evamāha,28
pākaṭaṃ,28
kataṃ,28
jātā,28
nipajji,28
khaṇe,28
aññamaññaṃ,28
avidūre,28
pakkhipitvā,28
pitu,28
aññattha,28
desetvā,27
manussānaṃ,27
amhehi,27
ete,27
yadā,27
ayya,27
paṇḍito,27
adaṃsu,27
nāyaṃ,27
tāpaso,27
rukkhadevatā,27
sippaṃ,27
jetavanaṃ,26
ekamantaṃ,26
tumhehi,26
pattaṃ,26
phalaṃ,26
cāti,26
nakkhattaṃ,26
ettakaṃ,26
tuyhaṃ,26
akatvā,26
tāya,26
nāhaṃ,26
paṇḍitā,26
atthaṃ,26
bhariyā,26
nesaṃ,25
gantuṃ,25
ṭhānaṃ,25
punadivase,25
sāsane,25
vaṭṭati,25
nisīdāpetvā,25
vadati,25
mahantena,25
bārāṇasiṃ,25
hotu,25
etassa,25
vasitvā,25
sāmī’’ti,25
gāthāya,25
gatā,24
pahāya,24
esā,24
gacchatha,24
thokaṃ,24
vināsaṃ,24
sarīraṃ,24
buddhaparisā,24
olokento,24
ekassa,24
bhūmiyaṃ,24
pakkāmi,24
devadattassa,24
puttassa,24
mahāseṭṭhi,24
sakkoti,24
kāresi,24
yasmiṃ,24
brāhmaṇassa,24
corā,24
mukhaṃ,23
keci,23
bhaṇḍaṃ,23
ṭhapesi,23
purimanayeneva,23
pivitvā,23
puggalo,23
evarūpo,23
tamatthaṃ,23
jānāmi,23
devatā,23
mahāsatto,23
palāyitvā,23
rukkhaṃ,23
jā,23
māṇavo,23
guṇaṃ,23
jitaṃ,23
kuto,22
pākaṭo,22
vatthūni,22
divasaṃ,22
pañcasu,22
bhuñjitvā,22
labhati,22
ekā,22
paṭhamaṃ,22
mātaraṃ,22
upāyena,22
arahattaṃ,22
ghare,22
sīse,22
isipabbajjaṃ,22
siṅgālo,22
āvi,22
na’’nti,22
seṭṭhissa,21
karonti,21
tīṇi,21
gacchante,21
mayi,21
pacchato,21
yattha,21
majjhe,21
sotāpattiphale,21
bhavitabba’’nti,21
gāthaṃ,21
tāsaṃ,21
khipitvā,21
āgato,21
catūhi,21
jātaṃ,21
uppādetvā,21
eva,21
dāni,21
disā,21
sāriputto,21
akkhīni,21
piṇḍāya,21
brāhmaṇaṃ,21
sakko,21
kata’’nti,20
imāni,20
paṭisandhiṃ,20
sakaṭāni,20
amhe,20
devo,20
sāvatthiyaṃ,20
etadahosi,20
nivattitvā,20
dehī’’ti,20
dassāmī’’ti,20
ambho,20
dātuṃ,20
pāpakammaṃ,20
kappesi,20
ācariyaṃ,20
brāhmaṇa,20
jālaṃ,20
ācariya,20
addasaṃ,20
upanissāya,19
tathāgatassa,19
gahapati,19
kadāci,19
gamissāmī’’ti,19
aññataraṃ,19
nagare,19
aṭṭha,19
tātā’’ti,19
ekekaṃ,19
tātā,19
rājāno,19
ācariyassa,19
api,19
dasseti,19
vāsaṃ,19
theraṃ,19
sannipatitvā,19
udake,19
āharāpetvā,19
samattho,19
pañcahi,18
māpetvā,18
yakkho,18
paññāyati,18
ekacce,18
pātova,18
imissā,18
nanu,18
patitvā,18
yadi,18
āmantetvā,18
ṭhitā,18
rattiṃ,18
santikā,18
laddhaṃ,18
ānetvā,18
vatthu,18
veḷuvane,18
parivārena,18
aññesaṃ,18
uppatitvā,18
samuṭṭhāpesuṃ,18
asakkontā,18
yasaṃ,18
yassa,18
chinditvā,18
aññatarasmiṃ,18
rakkhituṃ,18
seṭṭhino,17
yojetvā,17
āgacchati,17
nagarā,17
disvāva,17
nāsakkhi,17
evarūpe,17
saddaṃ,17
natthī’’ti,17
dosaṃ,17
jāto’’ti,17
sāmikaṃ,17
labhi,17
purisaṃ,17
anukkamena,17
nīharitvā,17
sāpi,17
himavantaṃ,17
dhammena,17
antare,17
samāpattiyo,17
pesetvā,17
jane,17
ādayo,17
samayena,17
abhayaṃ,17
dukkhā,17
pati,17
core,17
pothetvā,17
hatthī,17
garahitvā,17
itthī,17
pahari,17
vipāko,17
bhagavato,16
sattā,16
cattāri,16
maggaṃ,16
vicarati,16
gacchanti,16
atthī’’ti,16
evañca,16
pāpetvā,16
hatthato,16
dvepi,16
abhisambuddho,16
dīpeti,16
kulaputto,16
uggaṇhitvā,16
kammaṭṭhānaṃ,16
laddhuṃ,16
patiṭṭhāsi,16
ce,16
vicaranto,16
itaro,16
dethā’’ti,16
jīvitaṃ,16
sve,16
dārake,16
idheva,16
ajānanto,16
taṅkhaṇaññeva,16
dāpesi,16
ahampi,16
amaccā,16
purisa,16
mahārājā’’ti,16
sattamā,16
mige,16
etesaṃ,16
hotīti,16
nāmena,16
gīvaṃ,16
seyyo,16
ārabhi,16
māretvā,16
