Word,Frequency
vā,174
hoti,127
kho,120
mahārāja,108
so,81
ca,73
bhante,73
evaṃ,69
cittaṃ,68
pajānāti,58
te,53
na,49
me,47
bhavissati,45
sandiṭṭhikaṃ,45
iti,45
natthi,44
paṭivirato,41
sāmaññaphalaṃ,40
yathā,38
seyyathāpi,36
bhikkhu,33
ayaṃ,32
evameva,32
citta’nti,31
tassa,29
rājā,28
taṃ,26
syā,25
puṭṭho,25
idampissa,25
māgadho,24
ajātasattu,24
vedehiputto,24
pe,24
puriso,24
sīlasmiṃ,24
bho,23
sī,23
ka,23
viharati,21
seyyathidaṃ,21
ahaṃ,21
bhonto,21
pahāya,20
nu,19
etadavoca,19
samāno,18
samaṇabrāhmaṇā,18
jātiyo,18
pana,17
no,17
paneke,17
saddhādeyyāni,17
bhojanāni,17
bhuñjitvā,17
ṭhite,17
parisuddhe,17
pariyodāte,17
nāma,16
ekamantaṃ,16
evarūpāya,16
samāhite,16
citte,16
anaṅgaṇe,16
vigatūpakkilese,16
mudubhūte,16
kammaniye,16
āneñjappatte,16
abhinīharati,16
abhininnāmeti,16
yathābhūtaṃ,16
kaṃ,15
vutte,15
deva,15
diṭṭheva,15
dhamme,15
satta,15
bhagavā,14
nisinno,14
kāyassa,14
kiñci,14
evamassa,14
tiracchānavijjāya,14
atha,13
maṃ,13
samannāgato,13
sakkā,13
sandiṭṭhikehi,13
sāmaññaphalehi,13
abhikkantatarañca,13
kāyaṃ,13
tena,12
nigaṇṭho,12
yena,12
sukhenti,12
pīṇenti,12
byākāsi,12
ambaṃ,12
labujaṃ,12
byākareyya,12
sattā,12
saṃvuto,12
purimehi,12
paṇītatarañca,12
samannāgatā,12
vata,11
pī,11
tvaṃ,11
bhagavantaṃ,11
puthusippāyatanāni,11
vācaṃ,11
paraṃ,11
assa,11
raññaṃ,11
nāssa,11
apphuṭaṃ,11
idampi,11
devo,10
neva,10
idha,10
atthi,10
sabbāvato,10
samayena,9
ime,9
vatthāni,9
santuṭṭho,9
evarūpaṃ,9
anuyuttā,9
viharanti,9
saddhiṃ,8
payirupāsato,8
tuṇhī,8
kathañhi,8
upasaṅkamitvā,8
imāni,8
nisīdiṃ,8
tatonidānaṃ,8
bhāsitaṃ,8
naṃ,8
kesamassuṃ,8
ohāretvā,8
kāsāyāni,8
acchādetvā,8
agārasmā,8
anagāriyaṃ,8
kāyena,8
evarūpā,8
tamhā,8
imameva,8
pītisukhena,8
satte,8
samayaṃ,7
samaṇaṃ,7
brāhmaṇaṃ,7
pasīdeyyā’’ti,7
payirupāsatu,7
appeva,7
devassa,7
itipi,7
iminā,7
kathaṃ,7
paññapetu’nti,7
mayhaṃ,7
etadahosi,7
tameva,7
uṭṭhāyāsanā,7
vipāko,7
paro,7
aññaṃ,7
tathāgato,7
maraṇā,7
aparena,7
pabbajito,7
idaṃ,7
micchājīvena,7
jīvitaṃ,7
kappenti,7
micchājīvā,7
evaṃvipāko,7
sampajānakārī,7
cetasā,7
yaṃ,6
rājāmacco,6
rājānaṃ,6
māgadhaṃ,6
ajātasattuṃ,6
vedehiputtaṃ,6
saṅghī,6
ceva,6
gaṇī,6
gaṇācariyo,6
ñāto,6
yasassī,6
titthakaro,6
sādhusammato,6
bahujanassa,6
rattaññū,6
cirapabbajito,6
addhagato,6
vayoanuppatto,6
ahosi,6
nāṭaputto,6
rañño,6
samma,6
jīvaka,6
kiṃ,6
yāni,6
imaṃ,6
ekamidāhaṃ,6
sammodiṃ,6
sammodanīyaṃ,6
sāraṇīyaṃ,6
vītisāretvā,6
etadavocaṃ,6
yo,6
itthaṃ,6
mādiso,6
vijite,6
vasantaṃ,6
apasādetabbaṃ,6
maññeyyā’ti,6
abhinandiṃ,6
nappaṭikkosiṃ,6
anabhinanditvā,6
anattamano,6
anattamanavācaṃ,6
anicchāretvā,6
anuggaṇhanto,6
anikkujjanto,6
pakkamiṃ,6
ce,6
dāso,6
vihareyya,6
vācāya,6
cassa,6
pāmojjaṃ,6
abhisandeti,6
parisandeti,6
paripūreti,6
parippharati,6
anekavihitaṃ,6
anekepi,6
gāmā,6
gāmaṃ,6
vimuccati,6
dosinā,5
ratti,5
pūraṇo,5
kassapo,5
aññataropi,5
makkhali,5
gosālo,5
ajito,5
kesakambalo,5
pakudho,5
kaccāyano,5
sañcayo,5
belaṭṭhaputto,5
māgadhassa,5
ajātasattussa,5
vedehiputtassa,5
hi,5
bhayaṃ,5
ete,5
kareyya,5
tenupasaṅkamiṃ,5
pañca,5
appaṭikkositvā,5
sukatadukkaṭānaṃ,5
kammānaṃ,5
phalaṃ,5
loko,5
opapātikā,5
lokaṃ,5
bhedā,5
kathañca,5
manasā,5
sīlasampanno,5
amutra,5
evaṃvipākaṃ,5
samanupassati,5
ariyena,5
cakkhunā,5
parisodheti,5
pubbe,5
labhetha,5
adhigaccheyya,5
somanassaṃ,5
ahosiṃ,5
somhi,5
upasamena,4
hotu,4
dakkhiṇaṃ,4
gaccheyya,4
sattānaṃ,4
sabbe,4
tattha,4
ye,4
anupeti,4
anupagacchati,4
yadidaṃ,4
